0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0
0.001219240760745827;0;0;0;0;0;0;0;0;0.008830638454830366;0.04517466663363649;0.04412738404344724
0.1343468921584632;0.09089357968249939;0.05712274051204836;0.02219742701497704;0;0;0;0;0.06825683876759651;0.1443739171951976;0.1882310439968881;0.1815226244629531
0.3009263164899177;0.2528188449406719;0.2159649302120394;0.1630162249293442;0.1214446077268679;0.0840480722635292;0.07851490493195953;0.1278613579147178;0.2297641833625985;0.3124675120515166;0.3592478721788626;0.345595883940261
0.4862161995705696;0.4387375586490296;0.4031929365143195;0.3338131522855654;0.286729664252558;0.236317588686085;0.2292516128760907;0.2926055613148877;0.4169442622764837;0.4948593517974634;0.5402236669144439;0.5203356093245355
0.6661967857999214;0.6242645402060499;0.5919541488085797;0.5069549453903295;0.4575364647442541;0.3988179595291309;0.3925889551822074;0.4643681245218084;0.6000343523335419;0.6639771204590039;0.7050935086967389;0.6820770135809262
0.8120525676018074;0.7787285588320423;0.7483319033996101;0.6479689714077977;0.5962494300400693;0.5343343679336923;0.5325215407970554;0.608002816015606;0.7439570417741127;0.7896052940015098;0.8259545279018878;0.8046435992810741
0.8981241550923739;0.873842256201308;0.8416551939146664;0.7264126236874542;0.6705869257799862;0.6098752411348249;0.6156785425026483;0.691601909897296;0.8194249958292936;0.8477060971797248;0.8808860171670241;0.8664475162886962
0.9088173809229421;0.8916424763839033;0.8533250272466316;0.7250957503553419;0.6634095885671165;0.6071709069343544;0.6221564265385766;0.6964058919883857;0.8110673409247676;0.8269573154534875;0.8597152949913032;0.8562559627583991
0.8421866579909352;0.8287560572351743;0.7810244408696077;0.644306426709718;0.5763551735987926;0.5268681945331755;0.5504199861496422;0.6213428655023566;0.7205767148052463;0.7314089870041334;0.7663719222715834;0.7759322124415617
0.7103322855059664;0.6970929924831095;0.6391504272355973;0.5017486690938099;0.4295587454136021;0.3884115609120719;0.417603993751981;0.4832444787990144;0.5664152014628564;0.5795739348470358;0.6180097556199063;0.6399984364246953
0.5367421230451868;0.5212350121773087;0.4557819180469628;0.3281596868902338;0.2570839517804082;0.2254669370458086;0.2555071507011503;0.3129015794439544;0.3797919718051101;0.399741664454731;0.4407528107210097;0.4720017032272751
0.3501890402689924;0.3319478265036;0.2650174967436267;0.1579516384545037;0.09612939761206277;0.07506701208789948;0.1005850356340507;0.1457109623863607;0.1956136857880134;0.2218400187644246;0.2624564143461338;0.2981152856191039
0.1766749060137588;0.1572570155698768;0.09649441301263385;0.01846566429070431;0;0;0;0.001245356674482264;0.04150220935256224;0.06907467137956341;0.1052429492595127;0.1402269954450915
0.03341867181011937;0.01563539433678743;0;0;0;0;0;0;0;0;0;0.01203424426341488
0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0
